"","a_log","a12","h12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"71","-1","-5e-04","1e-04","-4","-0.5","-1","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","1167730","NaN","-2.35489962030783","0.572326518251654","-3.24912466710722","0.64971903848062","-1.92015446602617","-1.66113265862426","0.00195395778581048","0.00236996017930609","0.0024626316770477","0.000851678742239071","-4.11977620478448","0.246076316403868","0.241241275883817","0","1962.45219005081","-940.403522072162"
"72","-2","-2e-04","-0.00035","-5","-0.5","-1","5e-04","5e-04","5e-04","0.005","-15","0.2","0.2","306913","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"73","-2","-0.00035","-5e-04","-1","-2","-1","0.001","0.001","5e-04","5e-04","-15","0.2","0.2","24883","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"74","-2.5","-5e-05","1e-04","-5","-1","-0.5","0.001","5e-04","0.001","0.001","-5","0.2","0.2","1123867","NaN","-2.31883628006637","-0.000223394473991823","-4.6406573432378","0.000948159280350261","-0.763385039502283","-0.940052515372629","0.00140867124682557","0.00255888079823584","0.0025843127101229","0.00124656058911537","-4.93663676811176","0.237298157216877","0.276837738842877","0","1984.46717292571","-951.411013509614"
"75","-2","-5e-04","-2e-04","-3","-2","-1","0.005","5e-04","0.005","0.001","-5","0.2","0.2","1177803","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"76","-2.5","-2e-04","-5e-04","-2","-2","-1","5e-04","0.001","5e-04","5e-04","-10","0.2","0.2","474762","NaN","-2.50961608114768","-0.000150526757176539","-1.4733071246122","-0.000837130772732982","-1.59171274741295","-1.67401490777705","0.00153511439378441","0.00146156062202908","0.00213446714623295","0.000921608747464382","-10.0597780444766","0.226288209627102","0.242898157506134","0","1858.56314264691","-888.458998370213"
"77","-1","-0.00035","-0.00035","-5","-1","-0.5","0.005","0.001","5e-04","0.005","-10","0.2","0.2","791910","NaN","-1.00342581912365","0.199858870618882","-2.79141527412183","1.03099762030299","-1.95851601686994","-1.67330676654249","0.00197947958663573","0.00244346099842285","0.00247037440451055","0.000863302428008952","-12.2525695355924","0.246603371926776","0.241285087368828","0","1964.57718167707","-941.466017885294"
"78","-1","-2e-04","1e-04","-2","-2","-1","0.005","0.001","0.001","5e-04","-15","0.2","0.2","81115","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"79","-2.5","-5e-05","1e-04","-2","-0.5","-1","0.001","0.005","0.005","5e-04","-10","0.2","0.2","599867","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"80","-2","-2e-04","-0.00035","-4","-2","-1","0.001","5e-04","0.005","0.001","-15","0.2","0.2","260788","NaN","-1.77812854595892","0.78883097056436","-3.88793243789843","0.671578798967957","-1.92148117455494","-1.65915310855287","0.00195052885347024","0.00237763597710257","0.00246732250689687","0.00085325140318065","-14.3752784615787","0.246069386771435","0.241298999806441","0","1962.78022579364","-940.567539943578"
